西门		0		8,238
基建处		1		35,214
快递站		2		35,195
运动场南		3		206,175
运动场北		4		207,69
A区		5		254,187
B区		6		252,148
C区		7		289,127
D1区		8		325,169
学生服务区		9		285,189
D2区		10		323,57
E区		11		287,48
信息楼S1		12		258,297
S2区		13		311,290
S3区		14		309,344
S4区		15		319,390
S5区		16		317,442
111区宿舍楼		17		262,534
公共教学楼		18		426,272
教学实验综合楼南		19		581,340
教学实验综合楼北		20		583,290
报告厅		21		628,318
教工食堂		22		394,104
学生食堂		23		393,183
综合办公楼		24		490,101
医务室		25		486,22
学生活动中心		26		514,183
超市		27		458,154
运营商		28		465,187
邮局		29		488,185
图书馆		30		568,210
东配楼		31		722,94
北学院楼		32		765,126
教室楼S1		33		781,286
实验楼S2S3		34		779,360
南学院楼		35		817,475
AA		36		34,238
AB		37		228,241
AC		38		348,239
AD		39		548,241
AE		40		745,241
AF		41		229,175
AG		42		228,114
AH		43		229,29
AI		44		310,29
AJ		45		346,31
AK		46		442,34
AL		47		547,35
AM		48		724,34
AN		49		745,33
AO		50		548,116
AP		51		443,116
AQ		52		346,115
AR		53		269,114
AS		54		347,154
AT		55		230,69
AU		56		248,49
AV		57		306,236
AW		58		442,184
AX		59		547,186
AY		60		742,385
AZ		61		547,386
BA		62		347,388
BB		63		545,456
BC		64		743,457
BD		65		816,455
BE		66		476,457
BF		67		347,456
BG		68		476,528
BH		69		446,556
BI		70		346,552
BJ		71		347,485
BK		72		314,485
BL		73		286,459
BM		74		243,459
BN		75		243,406
BO		76		265,375
BP		77		264,321
BQ		78		289,305
BR		79		288,374
BS		80		287,410
BT		81		346,301
BU		82		230,553
BV		83		229,305
BW		84		442,237
BX		85		548,321
BY		86		745,92
